"","SampleName","cell","condition","Run", "Type","Line"
"1","-C7_H3_cell_1","#C7_H3_cell","H3","C7_H3_cell_1","cell","C7"
"2","-C7_H3_cell_2","#C7_H3_cell","H3","C7_H3_cell_2","cell","C7"
"3","-C7_H3_cell_3","#C7_H3_cell","H3","C7_H3_cell_3","cell","C7"
"4","-C7_H3_EVs_1","#C7_H3_EVs","H3","C7_H3_EVs_1","EVs","C7"
"5","-C7_H3_EVs_2","#C7_H3_EVs","H3","C7_H3_EVs_2","EVs","C7"
"6","-C7_H3_EVs_3","#C7_H3_EVs","H3","C7_H3_EVs_3","EVs","C7"
"7","-C7_H5_cell_1","#C7_H5_cell","H5","C7_H5_cell_1","cell","C7"
"8","-C7_H5_cell_2","#C7_H5_cell","H5","C7_H5_cell_2","cell","C7"
"9","-C7_H5_cell_3","#C7_H5_cell","H5","C7_H5_cell_3","cell","C7"
"10","-C7_H5_EVs_1","#C7_H5_EVs","H5","C7_H5_EVs_1","EVs","C7"
"11","-C7_H5_EVs_2","#C7_H5_EVs","H5","C7_H5_EVs_2","EVs","C7"
"12","-C7_H5_EVs_3","#C7_H5_EVs","H5","C7_H5_EVs_3","EVs","C7"
"13","-C7_N_cell_1","#C7_N_cell","N","C7_N_cell_1","cell","C7"
"14","-C7_N_cell_2","#C7_N_cell","N","C7_N_cell_2","cell","C7"
"15","-C7_N_cell_3","#C7_N_cell","N","C7_N_cell_3","cell","C7"
"16","-C7_N_EVs_1","#C7_N_EVs","N","C7_N_EVs_1","EVs","C7"
"17","-C7_N_EVs_2","#C7_N_EVs","N","C7_N_EVs_2","EVs","C7"
"18","-C7_N_EVs_3","#C7_N_EVs","N","C7_N_EVs_3","EVs","C7"
"19","-G_H3_cell_1","#G_H3_cell","H3","G_H3_cell_1","cell","G"
"20","-G_H3_cell_2","#G_H3_cell","H3","G_H3_cell_2","cell","G"
"21","-G_H3_cell_3","#G_H3_cell","H3","G_H3_cell_3","cell","G"
"22","-G_H3_EVs_1","#G_H3_EVs","H3","G_H3_EVs_1","EVs","G"
"23","-G_H3_EVs_2","#G_H3_EVs","H3","G_H3_EVs_2","EVs","G"
"24","-G_H3_EVs_3","#G_H3_EVs","H3","G_H3_EVs_3","EVs","G"
"25","-G_H5_cell_1","#G_H5_cell","H5","G_H5_cell_1","cell","G"
"26","-G_H5_cell_2","#G_H5_cell","H5","G_H5_cell_2","cell","G"
"27","-G_H5_cell_3","#G_H5_cell","H5","G_H5_cell_3","cell","G"
"28","-G_H5_EVs_1","#G_H5_EVs","H5","G_H5_EVs_1","EVs","G"
"29","-G_H5_EVs_2","#G_H5_EVs","H5","G_H5_EVs_2","EVs","G"
"30","-G_H5_EVs_3","#G_H5_EVs","H5","G_H5_EVs_3","EVs","G"
"31","-G_N_cell_1","#G_N_cell","N","G_N_cell_1","cell","G"
"32","-G_N_cell_2","#G_N_cell","N","G_N_cell_2","cell","G"
"33","-G_N_cell_3","#G_N_cell","N","G_N_cell_3","cell","G"
"34","-G_N_EVs_1","#G_N_EVs","N","G_N_EVs_1","EVs","G"
"35","-G_N_EVs_2","#G_N_EVs","N","G_N_EVs_2","EVs","G"
"36","-G_N_EVs_3","#G_N_EVs","N","G_N_EVs_3","EVs","G"
"37","-TC_H3_cell_1","#TC_H3_cell","H3","TC_H3_cell_1","cell","TC"
"38","-TC_H3_cell_2","#TC_H3_cell","H3","TC_H3_cell_2","cell","TC"
"39","-TC_H3_cell_3","#TC_H3_cell","H3","TC_H3_cell_3","cell","TC"
"40","-TC_H3_EVs_1","#TC_H3_EVs","H3","TC_H3_EVs_1","EVs","TC"
"41","-TC_H3_EVs_2","#TC_H3_EVs","H3","TC_H3_EVs_2","EVs","TC"
"42","-TC_H3_EVs_3","#TC_H3_EVs","H3","TC_H3_EVs_3","EVs","TC"
"43","-TC_H5_cell_1","#TC_H5_cell","H5","TC_H5_cell_1","cell","TC"
"44","-TC_H5_cell_2","#TC_H5_cell","H5","TC_H5_cell_2","cell","TC"
"45","-TC_H5_cell_3","#TC_H5_cell","H5","TC_H5_cell_3","cell","TC"
"46","-TC_H5_EVs_1","#TC_H5_EVs","H5","TC_H5_EVs_1","EVs","TC"
"47","-TC_H5_EVs_2","#TC_H5_EVs","H5","TC_H5_EVs_2","EVs","TC"
"48","-TC_H5_EVs_3","#TC_H5_EVs","H5","TC_H5_EVs_3","EVs","TC"
"49","-TC_N_cell_1","#TC_N_cell","N","TC_N_cell_1","cell","TC"
"50","-TC_N_cell_2","#TC_N_cell","N","TC_N_cell_2","cell","TC"
"51","-TC_N_cell_3","#TC_N_cell","N","TC_N_cell_3","cell","TC"
"52","-TC_N_EVs_1","#TC_N_EVs","N","TC_N_EVs_1","EVs","TC"
"53","-TC_N_EVs_2","#TC_N_EVs","N","TC_N_EVs_2","EVs","TC"
"54","-TC_N_EVs_3","#TC_N_EVs","N","TC_N_EVs_3","EVs","TC"

